Gender,Years of Experience,Salary
Female,12,160000
Male,8,145000
Male,13,185000
Male,5,105000
Male,6,110000
Male,18,210000
Female,1,55000
Male,16,190000
Female,11,165000
Male,5,105000
Female,11,160000
Male,6,110000
Male,17,195000
Male,3,85000
Male,14,180000
Female,1,55000
Male,13,185000
Male,8,140000
Female,3,90000
Female,12,160000
Male,8,145000
Male,13,185000
Male,5,105000
Male,6,110000
Male,18,210000
Male,6,115000
Female,13,170000
Female,3,80000
Male,19,200000
Female,7,130000
Male,11,155000
Male,5,105000
Female,14,190000
Male,8,140000
Male,16,185000
Female,8,145000
Female,4,90000
Male,18,195000
Male,4,95000
Male,13,170000
Female,6,115000
Male,16,185000
Female,2,65000
Female,12,160000
Male,5,100000
Male,15,180000
Female,1,55000
Male,14,190000
Male,6,115000
Female,17,195000
Male,9,150000
Female,6,115000
Male,16,185000
Female,2,65000
Female,12,160000
Male,5,100000
Male,15,180000
Female,1,55000
Male,14,190000
Male,6,115000
Female,17,195000
Male,9,150000
Female,6,115000
Male,16,185000
Female,2,65000
Female,12,160000
Male,5,100000
Male,15,180000
Female,1,55000
Male,14,190000
Male,6,115000
Female,17,195000
Male,9,150000
Female,6,115000
Male,16,185000
Female,2,65000
Female,12,160000
Male,5,100000
Male,15,180000
Female,1,55000
Male,14,190000
Male,6,115000
Female,17,195000
Male,9,150000
Female,6,115000
Male,16,185000
Female,2,65000
Female,12,160000
Male,5,100000
Male,15,180000
Female,1,55000
Male,14,190000
Male,6,115000
Female,17,195000
Male,9,150000
Female,6,115000
Male,16,185000
Female,2,65000
Female,12,160000
Male,5,100000
Male,15,180000
Female,1,55000
Male,14,190000
Male,6,115000
Female,17,195000
Male,9,150000
Female,6,115000
Male,16,185000
Female,2,65000
Female,12,160000
Male,5,100000
Male,15,180000
Female,1,55000
Male,14,190000
Male,6,115000
Female,17,195000
Male,9,150000
Female,6,115000
Male,16,185000
Female,2,65000
Female,12,160000
Male,5,100000
Male,15,180000
Female,1,55000
Male,14,190000
Male,6,115000
Female,17,195000
Male,9,150000
Female,6,115000
Male,16,185000
Female,2,65000
Female,12,160000
Male,5,100000
Male,15,180000
Female,1,55000
Male,14,190000
Male,6,115000
Female,17,195000
Male,9,150000
Female,6,115000
Male,16,185000
Female,2,65000
Female,12,160000
Male,5,100000
Male,15,180000
Female,1,550
Male,4,90000
Female,12,160000
Female,3,80000
Male,18,195000
Female,6,115000
Male,10,150000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,12,160000
Male,3,80000
Male,17,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,12,160000
Male,3,80000
Male,17,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,12,160000
Male,3,80000
Male,17,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,12,160000
Male,3,80000
Male,17,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,12,160000
Male,3,80000
Male,17,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,12,160000
Male,3,80000
Male,17,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,6,110000
Male,10,150000
Male,3,80000
Male,18,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,12,160000
Male,3,80000
Male,17,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,12,160000
Male,3,80000
Male,17,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,12,160000
Male,3,80000
Male,17,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,12,160000
Male,3,80000
Male,17,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,12,160000
Male,3,80000
Male,17,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,12,160000
Male,3,80000
Male,17,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Male,8,130000
Male,3,80000
Male,15,180000
Female,8,140000
Male,12,160000
Female,2,55000
Female,16,190000
Male,7,120000
Male,18,200000
Female,5,100000
Male,9,150000
Female,11,170000
Male,2,65000
Female,19,210000
Male,4,90000
Male,14,180000
Female,6,110000
Male,10,150000
Male,3,80000
Male,18,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,12,160000
Male,3,80000
Male,17,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,12,160000
Male,3,80000
Male,17,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Female,16,185000
Male,7,130000
Male,5,105000
Male,20,210000
Male,6,95000
Female,11,170000
Male,2,65000
Female,16,190000
Male,7,120000
Male,19,200000
Female,5,100000
Male,9,150000
Female,11,170000
Male,2,65000
Female,19,210000
Male,4,90000
Male,14,180000
Female,6,110000
Male,10,150000
Male,3,80000
Male,18,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,12,160000
Male,3,80000
Male,17,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,16,185000
Female,7,130000
Female,5,105000
Male,19,200000
Male,5,100000
Male,13,170000
Female,6,115000
Male,16,185000
Female,4,90000
Female,12,160000
Male,3,80000
Male,17,195000
Female,6,115000
Male,8,135000
Male,2,65000
Female,14,190000
Male,8,140000
Male,4,75000
Female,7,95000
Male,1,50000
Male,15,180000
Female,3,65000
Male,6,120000
Female,2,60000
Male,10,150000
Male,3,70000
Female,20,220000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Female,8,122485
Male,12,169159
Male,21,187081
Female,5,78354
Male,2,90249
Female,6,132720
Male,23,161568
Male,13,127346
Female,19,120177
Male,8,101332
Female,30,121450
Female,12,166375
Male,21,185119
Female,10,149217
Male,21,166512
Female,28,186963
Male,3,75072
Female,10,163398
Male,11,103947
Female,33,179180
Male,23,175966
Male,27,190004
Female,10,152039
Male,5,76742
Female,33,191790
Female,20,139398
Male,7,95845
Male,12,160976
Female,9,126753
Male,8,139817
Male,25,181714
Female,10,114776
Male,6,105725
Female,1,52731
Male,8,106492
Female,4,73895
Male,1,119836
Female,5,99747
Male,25,168287
Female,7,115920
Male,11,128078
Female,1,51265
Male,22,165919
Female,34,188651
Male,0,55538
Male,28,193964
Female,4,104702
Male,19,172955
Female,16,138032
Male,4,82683
Male,17,155414
Female,25,154207
Male,8,107895
Female,18,148446
Male,4,102859
Female,13,138662
Male,23,181699
Female,33,188232
Female,0,51832
Male,28,188484
Female,16,138286
Male,22,181132
Female,4,73938
Male,14,119224
Female,6,101186
Male,14,142360
Female,20,151315
Male,23,181021
Female,15,134641
Male,23,173851
Male,25,178859
Female,5,98568
Male,9,104661
Female,13,134858
Male,10,94502
Female,8,122485
Male,12,169159
Male,21,187081
Female,5,78354
Male,2,90249
Female,6,132720
Male,23,161568
Male,13,127346
Female,19,120177
Male,8,101332
Female,30,121450
Female,12,166375
Male,21,185119
Female,10,149217
Male,21,166512
Female,28,186963
Male,3,75072
Female,10,163398
Male,11,103947
Female,33,179180
Male,23,175966
Male,27,190004
Female,10,152039
Male,5,76742
Female,33,191790
Female,20,139398
Male,7,95845
Male,12,160976
Female,9,126753
Male,8,139817
Male,25,181714
Female,10,114776
Male,6,105725
Female,1,52731
Male,8,106492
Female,4,73895
Male,1,119836
Female,5,99747
Male,25,168287
Female,7,115920
Male,11,128078
Female,1,51265
Male,22,165919
Female,34,188651
Male,0,55538
Male,28,193964
Female,4,104702
Male,19,172955
Female,16,138032
Male,4,82683
Male,17,155414
Female,25,154207
Male,8,107895
Female,18,148446
Male,4,102859
Female,13,138662
Male,23,181699
Female,33,188232
Female,0,51832
Male,28,188484
Female,16,138286
Male,22,181132
Female,4,73938
Male,14,119224
Female,6,101186
Male,14,142360
Female,20,151315
Male,23,181021
Female,15,134641
Male,23,173851
Male,25,178859
Female,5,98568
Male,9,104661
Female,13,134858
Male,10,94502
Male,14,139095
Female,5,106278
Male,4,90452
Female,23,168304
Male,10,126593
Male,19,152203
Female,30,183138
Male,9,130275
Male,29,191915
Female,2,62807
Male,21,174305
Female,9,133326
Male,4,75656
Female,19,155944
Male,11,137775
Female,0,51831
Male,22,182237
Female,10,151901
Male,8,100052
Male,20,167207
Female,10,112439
Female,29,194214
Male,5,84407
Female,13,139413
Male,20,143084
Female,25,192344
Male,1,106132
Male,26,184816
Female,19,150248
Male,15,170995
Male,6,88035
Female,10,119419
Male,21,173582
Female,23,174436
Male,4,71699
Female,14,163558
Male,24,166828
Female,15,144496
Male,31,193746
Female,8,122581
Male,4,79767
Female,25,177177
Male,4,89843
Female,6,113563
Male,10,128712
Female,18,161621
Male,8,121454
Male,25,179987
Female,3,72649
Male,0,52612
Female,24,184006
Male,12,131960
Female,5,102465
Male,16,149748
Female,22,171036
Male,13,146351
Male,26,185462
Female,7,107718
Male,4,90944
Female,5,100425
Male,2,63901
Male,22,181902
Female,9,136533
Male,11,136285
Female,31,191818
Male,19,176643
Female,4,70022
Male,6,99363
Female,19,152944
Male,10,123386
Male,21,168906
Female,30,183020
Male,1,47898
Female,14,135853
Male,17,149198
Male,6,106662
Male,28,186610
Female,6,89995
Male,4,85825
Female,13,143814
Male,24,174726
Female,20,150534
Male,4,68732
Male,21,187951
Female,13,137336
Male,26,191159
Female,5,102868
Male,20,154281
Male,8,111535
Female,6,107906
Male,13,143885
Female,27,180958
Male,6,108607
Male,24,178284
Female,4,75969
Male,15,143705
Female,31,197354
Male,22,174324
Female,8,123781
Male,12,141735
Male,28,187120
Female,1,61095
Male,22,179045
Female,10,130355
Male,7,103282
Female,18,157872
Male,10,117314
Male,30,186321
Female,11,129686
Male,3,68611
Female,25,177913
Male,3,68472
Female,6,113065
Male,9,125091
Female,23,172925
Male,9,126916
Male,27,183417
Female,4,76898
Male,1,579
Female,2,65000
Male,8,120000
Female,4,90000
Male,15,190000
Female,9,140000
Male,3,75000
Female,11,160000
Male,8,130000
Female,2,60000
Male,20,220000
Female,5,80000
Male,7,130000
Female,3,65000
Male,13,170000
Female,6,110000
Male,2,50000
Male,18,210000
Female,8,100000
Male,1,50000
Male,10,160000
Female,4,70000
Male,16,190000
Female,9,140000
Male,1,45000
Female,7,120000
Male,2,60000
Female,11,150000
Male,4,70000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Female,6,103579
Male,19,163780
Male,12,137878
Female,4,92438
Male,5,84181
Female,21,174821
Male,10,126520
Male,18,152168
Female,29,190543
Male,9,131547
Male,28,192292
Female,1,52807
Male,20,174938
Female,8,124071
Male,3,73640
Female,19,156486
Male,11,138859
Female,0,52831
Male,23,182392
Female,11,151078
Male,8,100679
Male,20,167924
Female,10,113334
Female,29,194778
Male,4,77606
Female,13,140010
Male,20,142421
Female,24,192756
Male,1,106686
Male,27,186794
Female,19,150729
Male,15,171652
Male,6,88552
Female,9,119918
Male,21,174985
Female,23,174336
Male,4,72389
Female,14,163978
Male,25,166958
Female,15,145052
Male,32,195270
Female,8,122970
Male,4,80247
Female,25,177862
Male,4,91062
Female,6,114290
Male,10,128999
Female,18,162454
Male,8,122354
Male,25,179756
Female,3,73218
Male,0,52612
Female,24,184480
Male,12,132442
Female,5,102828
Male,16,150301
Female,22,171468
Male,13,147326
Male,26,185982
Female,7,108267
Male,4,91397
Female,5,100867
Male,2,64182
Male,22,182506
Female,9,136986
Male,11,136662
Female,32,191510
Male,19,177347
Female,3,70397
Male,9,146075
Female,18,155795
Male,9,132638
Female,22,178684
Male,7,106218
Male,28,191239
Female,2,65840
Male,0,52779
Female,23,185038
Male,14,136449
Female,6,110707
Male,17,151670
Female,21,167015
Male,13,146508
Male,27,190596
Female,6,104378
Male,3,70216
Female,5,101733
Male,1,55935
Male,21,180367
Female,9,135596
Male,11,136062
Female,32,191267
Male,19,177347
Female,3,70397
Male,9,146075
Female,18,155795
Male,9,132638
Female,22,178684
Male,7,106218
Male,28,191239
Female,2,65840
Male,0,52779
Female,23,185038
Male,14,136449
Female,6,110707
Male,17,151670
Female,21,167015
Male,13,146508
Male,27,190596
Female,6,104378
Male,3,70216
Female,5,101733
Male,1,55935
Male,21,180367
Female,9,135596
Male,11,136062
Female,32,191267
Male,19,177347
Female,6,103579
Male,19,163780
Male,12,137878
Female,4,92438
Male,5,84181
Female,21,174821
Male,10,126520
Male,18,152168
Female,29,190543
Male,9,131547
Male,28,192292
Female,1,52807
Male,20,174938
Female,8,124071
Male,3,73640
Female,19,156486
Male,11,138859
Female,0,52831
Male,23,182392
Female,11,151078
Male,8,100679
Male,20,167924
Female,10,113334
Female,29,194778
Male,4,77606
Female,13,140010
Male,20,142421
Female,24,192756
Male,1,106686
Male,27,186794
Female,19,150729
Male,15,171652
Male,6,88552
Female,9,119918
Male,21,174985
Female,23,174336
Male,4,72389
Female,14,163978
Male,25,166958
Female,15,145052
Male,32,195270
Female,8,122970
Male,4,80247
Female,25,177862
Male,4,91062
Female,6,114290
Male,10,128999
Female,18,162454
Male,8,122354
Male,25,179756
Female,3,73218
Male,0,52612
Female,24,184480
Male,12,132442
Female,5,102828
Male,16,150301
Female,22,171468
Male,13,147326
Male,26,185982
Female,7,108267
Male,4,91397
Female,5,100867
Male,2,64182
Male,22,182506
Female,9,136986
Male,11,136662
Female,32,191510
Male,19,177347
Female,3,70397
Male,9,146075
Female,18,155795
Male,9,132638
Female,22,178684
Male,7,106218
Male,28,191239
Female,2,65840
Male,0,52779
Female,23,185038
Male,14,136449
Female,6,110707
Male,17,151670
Female,21,167015
Male,13,146508
Male,27,190596
Female,6,104378
Male,3,70216
Female,5,101733
Male,1,55935
Male,21,180367
Female,9,135596
Male,11,136062
Female,32,191267
Male,19,177347
Female,3,70397
Male,9,146075
Female,18,155795
Male,9,132638
Female,22,178684
Male,7,106218
Male,28,191239
Female,2,65840
Male,0,52779
Female,23,185038
Male,14,136449
Female,6,110707
Male,17,151670
Female,21,167015
Male,13,146508
Male,27,190596
Female,6,104378
Male,3,70216
Female,5,101733
Male,1,55935
Male,21,180367
Female,9,135596
Male,11,136062
Female,32,191267
Male,19,177347
Female,6,103579
Male,19,163780
Male,12,137878
Female,4,92438
Male,5,84181
Female,21,174821
Male,10,126520
Male,18,152168
Female,29,190543
Male,9,131547
Male,28,192292
Female,1,52807
Male,20,174938
Female,8,124071
Male,3,73640
Female,19,156486
Male,11,138859
Female,0,52831
Male,23,182392
Female,11,151078
Male,8,100679
Male,20,167924
Female,10,113334
Female,29,194778
Male,4,77606
Female,13,140010
Male,20,142421
Female,24,192756
Male,1,106686
Male,27,186794
Female,19,150729
Male,15,171652
Male,6,88552
Female,9,119918
Male,21,174985
Female,23,174336
Male,4,72389
Female,14,163978
Male,25,166958
Female,15,145052
Male,32,195270
Female,8,122970
Male,4,80247
Female,25,177862
Male,4,91062
Female,6,114290
Male,10,128999
Female,18,162454
Male,8,122354
Male,25,179756
Female,3,73218
Male,0,52612
Female,23,185038
Male,12,132442
Female,5,102828
Male,16,150301
Female,22,171468
Male,13,147326
Male,26,185982
Female,7,108267
Male,3,91397
Female,5,100867
Male,2,64182
Male,22,182506
Female,9,136986
Male,11,136662
Female,32,191510
Male,19,177347
Female,4,82944
Male,23,188288
Female,14,141090
Male,19,152726
Female,9,124141
Male,3,67556
Female,22,182768
Male,15,148727
Female,6,91903
Male,14,147708
Female,21,163209
Male,8,120288
Male,21,170226
Female,11,134979
Male,16,137489
Female,4,83577
Male,9,117904
Female,11,134482
Male,30,184660
Female,5,100151
Male,3,88678
Female,21,181285
Male,16,154990
Female,7,108204
Male,19,175684
Female,5,77766
Male,24,192211
Female,13,144647
Male,20,162231
Female,9,121120
Male,4,79652
Female,21,177002
Male,5,87584
Female,13,131860
Male,28,182013
Female,7,108799
Male,13,135378
Female,22,183530
Male,18,150901
Female,4,82697
Male,26,194638
Female,12,130356
Male,18,152560
Female,9,121432
Male,2,63789
Female,23,183690
Male,16,151310
Female,6,100358
Male,15,148437
Female,22,168691
Male,1,50000
Female,5,100000
Male,2,60000
Female,6,90000
Male,3,70000
Male,12,170000
Female,8,130000
Male,1,50000
Female,7,120000
Male,4,80000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,4,80000
Male,3,70000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Female,3,70000
Male,18,210000
Male,9,140000
Female,1,50000
Male,7,110000
Female,2,60000
Male,11,160000
Male,4,75000
Female,16,200000
Male,8,100000
Female,2,55000
Male,12,170000
Female,5,90000
Male,4,80000
Male,14,180000
Male,2,60000
Female,9,120000
Male,5,80000
Female,4,60000
Male,2,50000
Female,18,160000
Male,9,120000
Female,0,40000
Male,10,100000
Female,4,75000
Male,16,140000
Female,2,50000
Male,11,110000
Female,1,45000
Male,4,55000
Female,13,130000
Male,2,50000
Female,7,80000
Male,2,45000
Female,1,32000
Male,12,120000
Female,4,65000
Male,8,95000
Female,5,80000
Female,3,38000
Male,10,110000
Female,2,45000
Male,7,89000
Male,1,32000
Female,5,70000
Male,15,150000
Female,1,40000
Female,9,105000
Male,4,65000
Female,14,140000
Male,3,50000
Female,2,35000
Male,11,115000
Female,5,70000
Male,6,80000
Female,1,30000
Male,13,135000
Female,1,40000
Male,10,105000
Male,2,35000
Female,12,120000
Male,3,55000
Female,2,45000
Male,14,140000
Female,3,55000
Male,11,115000
Female,4,70000
Male,3,38000
Female,13,135000
Male,2,45000
Female,7,85000
Male,1,32000
Female,15,150000
Male,4,65000
Female,1,32000
Male,12,120000
Female,1,40000
Male,9,95000
Male,2,35000
Female,14,140000
Male,3,55000
Female,6,80000
Male,13,135000
Female,2,45000
Male,8,95000
Female,1,32000
Male,5,70000
Female,12,120000
Male,4,70000
Female,7,85000
Male,2,33000
Female,15,150000
Male,3,50000
Female,1,32000
Male,11,115000
Female,1,40000
Male,10,105000
Male,2,35000
Female,13,135000
Male,4,65000
Female,6,80000
Male,14,140000
Female,2,45000
Male,8,95000
Female,1,32000
Male,5,70000
Female,12,120000
Male,4,70000
Female,7,85000
Male,2,33000
Female,15,150000
Male,3,50000
Female,1,32000
Male,11,115000
Female,1,40000
Male,10,105000
Male,2,35000
Female,13,135000
Male,4,65000
Female,6,80000
Male,14,140000
Female,2,45000
Male,8,95000
Female,1,32000
Male,5,70000
Female,12,120000
Male,4,70000
Female,7,85000
Male,2,33000
Female,15,150000
Male,3,50000
Female,1,32000
Male,11,115000
Female,1,40000
Male,10,105000
Male,2,35000
Female,13,135000
Male,4,65000
Female,6,80000
Male,14,140000
Female,2,45000
