Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior
49,Male,3,Project Engineer,15,185000,Australia,Australian,1
47,Male,3,Software Engineer Manager,15,180000,USA,Asian,0
47,Male,3,Software Engineer,14,175000,China,Korean,1
26,Male,1,Front end Developer,2,70000,Canada,White,0
24,Female,1,Back end Developer,1,60000,Canada,White,0
62,Male,3,Software Engineer Manager,20,200000,China,Korean,0
42,Male,3,Software Engineer,14,170000,Australia,White,1
41,Female,2,Project Engineer,11,165000,Canada,Black,1
23,Male,1,Full Stack Engineer,1,55000,Australia,Asian,0
55,Male,3,Software Engineer Manager,17,190000,USA,African American,0
26,Female,2,Back end Developer,3,90000,China,Korean,0
33,Female,1,Front end Developer,5,105000,UK,Welsh,0
31,Male,2,Full Stack Engineer,6,130000,China,Chinese,0
50,Female,3,Software Engineer Manager,16,185000,Australia,Asian,0
24,Female,2,Back end Developer,1,60000,Canada,Asian,0
56,Male,3,Software Engineer Manager,17,195000,China,White,0
24,Male,1,Front end Developer,1,60000,USA,Asian,0
37,Male,2,Software Engineer,8,150000,UK,Mixed,1
43,Female,3,Project Engineer,13,180000,USA,African American,1
44,Female,2,Software Engineer,12,170000,Canada,Black,1
34,Male,2,Back end Developer,6,125000,Canada,White,0
45,Male,3,Software Engineer Manager,15,185000,China,White,0
29,Male,1,Full Stack Engineer,3,90000,UK,White,0
29,Male,1,Front end Developer,3,80000,UK,Mixed,0
29,Female,1,Back end Developer,3,85000,Australia,Australian,0
48,Male,3,Project Engineer,16,190000,UK,White,1
43,Female,2,Software Engineer Manager,11,160000,Canada,White,0
62,Male,3,Software Engineer Manager,19,200000,UK,Mixed,0
54,Male,3,Software Engineer Manager,17,195000,Canada,Asian,0
60,Male,3,Software Engineer Manager,18,195000,Australia,White,0
54,Female,3,Software Engineer Manager,14,190000,Australia,Australian,0
27,Female,2,Full Stack Engineer,3,95000,USA,African American,0
23,Male,1,Back end Developer,1,55000,UK,Asian,0
45,Male,3,Software Engineer,13,185000,Canada,White,1
32,Female,2,Full Stack Engineer,5,120000,Canada,Black,0
57,Male,3,Software Engineer Manager,16,195000,China,Korean,0
47,Male,3,Software Engineer Manager,14,175000,China,White,0
25,Female,2,Back end Developer,2,75000,China,White,0
58,Male,3,Software Engineer Manager,17,200000,UK,Welsh,0
41,Female,2,Software Engineer,12,160000,Canada,Asian,1
41,Male,3,Software Engineer Manager,12,175000,USA,Hispanic,0
26,Male,1,Front end Developer,2,70000,China,Korean,0
47,Male,3,Software Engineer,15,180000,UK,White,1
24,Female,1,Back end Developer,1,60000,UK,White,0
48,Male,3,Project Engineer,16,190000,Australia,Australian,1
32,Male,1,Full Stack Engineer,5,120000,Australia,Australian,0
61,Male,3,Software Engineer Manager,20,200000,USA,Hispanic,0
45,Male,3,Project Engineer,14,185000,Australia,Asian,1
50,Female,3,Software Engineer Manager,16,190000,Canada,Asian,0
53,Male,3,Software Engineer Manager,18,195000,Australia,Australian,0
47,Female,3,Software Engineer,14,170000,China,White,1
23,Male,1,Front end Developer,1,55000,Australia,White,0
33,Male,2,Back end Developer,6,130000,China,Korean,0
42,Male,3,Software Engineer Manager,14,180000,China,Chinese,0
45,Male,3,Project Engineer,14,185000,Australia,White,1
23,Male,1,Front end Developer,1,55000,China,Korean,0
37,Male,2,Software Engineer,9,145000,Canada,White,1
44,Female,2,Project Engineer,12,170000,China,White,1
54,Male,3,Software Engineer Manager,17,195000,UK,Mixed,0
38,Female,2,Back end Developer,10,155000,Australia,Asian,0
34,Male,2,Full Stack Engineer,6,125000,USA,Hispanic,0
46,Female,3,Software Engineer Manager,14,180000,China,Korean,0
30,Male,1,Back end Developer,4,95000,China,Chinese,0
44,Female,2,Software Engineer,11,170000,Canada,White,1
27,Female,2,Full Stack Engineer,3,100000,USA,Asian,0
42,Male,3,Project Engineer,14,175000,China,Korean,1
27,Male,1,Front end Developer,3,80000,UK,Mixed,0
54,Male,3,Software Engineer Manager,18,195000,Canada,Black,0
38,Male,2,Software Engineer,10,155000,Canada,Black,1
31,Male,2,Project Engineer,6,125000,China,Chinese,1
28,Female,2,Full Stack Engineer,4,110000,UK,Asian,0
30,Female,2,Back end Developer,6,130000,USA,Asian,0
54,Male,3,Software Engineer Manager,16,190000,UK,White,0
62,Male,3,Software Engineer Manager,20,200000,Canada,Asian,0
62,Male,3,Software Engineer Manager,19,200000,Australia,Asian,0
37,Male,2,Software Engineer,9,150000,UK,White,1
31,Male,2,Software Engineer,7,140000,UK,Mixed,1
58,Female,3,Software Engineer Manager,17,195000,China,White,0
56,Male,3,Software Engineer Manager,17,195000,UK,White,0
23,Female,1,Back end Developer,1,55000,Australia,Asian,0
49,Male,3,Software Engineer Manager,15,185000,USA,White,0
32,Female,2,Full Stack Engineer,5,120000,USA,White,0
52,Female,3,Software Engineer Manager,16,190000,Canada,White,0
32,Female,2,Full Stack Engineer,6,130000,China,Korean,0
50,Female,3,Software Engineer Manager,16,190000,USA,Asian,0
32,Male,2,Back end Developer,6,130000,China,Chinese,0
34,Male,2,Full Stack Engineer,7,140000,UK,White,0
28,Male,1,Front end Developer,2,70000,Australia,White,0
44,Male,2,Project Engineer,11,170000,USA,Asian,1
55,Male,3,Software Engineer Manager,17,190000,Canada,White,0
27,Male,1,Front end Developer,3,80000,Australia,Australian,0
46,Male,3,Software Engineer Manager,14,180000,UK,Asian,0
27,Female,2,Back end Developer,2,70000,UK,Mixed,0
45,Male,3,Project Engineer,14,185000,China,Chinese,1
23,Female,1,Front end Developer,1,55000,USA,African American,0
36,Female,2,Full Stack Engineer,8,140000,UK,White,0
47,Female,3,Software Engineer,14,170000,Canada,Black,1
33,Male,2,Back end Developer,6,130000,China,Chinese,0
43,Male,3,Software Engineer Manager,13,180000,USA,African American,0
30,Male,1,Back end Developer,4,95000,USA,White,0
28,Female,1,Front end Developer,2,70000,UK,Mixed,0
43,Male,2,Project Engineer,12,165000,Canada,White,1
43,Male,3,Project Engineer,13,185000,China,Korean,1
36,Male,2,Software Engineer,7,140000,UK,White,1
24,Male,1,Front end Developer,1,60000,Australia,White,0
28,Female,1,Front end Developer,3,80000,Australia,Asian,0
37,Male,2,Software Engineer,9,150000,China,White,1
41,Female,3,Software Engineer Manager,14,185000,Australia,Asian,0
26,Male,1,Front end Developer,2,70000,Canada,White,0
28,Female,2,Back end Developer,3,90000,USA,White,0
43,Male,3,Software Engineer,12,170000,USA,Asian,1
42,Male,3,Software Engineer,14,170000,USA,African American,1
48,Male,3,Project Engineer,16,190000,Canada,Black,1
27,Female,2,Back end Developer,2,70000,USA,Hispanic,0
49,Male,3,Software Engineer Manager,15,185000,Canada,Asian,0
44,Male,3,Project Engineer,12,170000,Canada,Black,1
27,Female,2,Full Stack Engineer,3,100000,Canada,Asian,0
37,Male,2,Software Engineer,10,155000,China,White,1
44,Female,2,Project Engineer,12,170000,Australia,Asian,1
56,Male,3,Software Engineer Manager,18,195000,Australia,Australian,0
49,Male,3,Software Engineer Manager,15,185000,Canada,Asian,0
27,Male,1,Front end Developer,2,70000,USA,African American,0
48,Male,3,Project Engineer,16,190000,China,Korean,1
31,Male,2,Full Stack Engineer,7,140000,Australia,White,0
25,Male,1,Front end Developer,1,60000,Canada,Asian,0
50,Male,3,Software Engineer Manager,16,190000,UK,White,0
46,Male,3,Software Engineer Manager,14,180000,China,White,0
33,Male,2,Full Stack Engineer,6,130000,Canada,Black,0
42,Male,3,Software Engineer,14,170000,USA,Asian,1
41,Male,3,Project Engineer,12,165000,Australia,Australian,1
43,Male,3,Project Engineer,13,185000,UK,Mixed,1
32,Male,2,Back end Developer,6,130000,Australia,Asian,0
24,Male,1,Front end Developer,1,60000,USA,Asian,0
44,Female,2,Software Engineer,11,170000,China,Korean,1
36,Male,2,Software Engineer,7,140000,China,White,1
28,Female,2,Full Stack Engineer,4,110000,Australia,White,0
28,Male,1,Front end Developer,2,70000,USA,White,0
37,Male,2,Software Engineer,9,145000,UK,Asian,1
54,Male,3,Software Engineer Manager,16,190000,USA,Hispanic,0
58,Male,3,Software Engineer Manager,17,200000,China,White,0
27,Male,1,Front end Developer,3,80000,Canada,Black,0
30,Male,1,Back end Developer,4,95000,USA,African American,0
27,Female,2,Full Stack Engineer,3,100000,USA,Hispanic,0
54,Male,3,Software Engineer Manager,17,195000,Australia,Asian,0
49,Male,3,Software Engineer Manager,15,185000,China,White,0
38,Male,2,Software Engineer,10,155000,Canada,Asian,1
54,Male,3,Software Engineer Manager,18,195000,USA,White,0
31,Male,2,Project Engineer,6,125000,USA,Hispanic,1
56,Male,3,Software Engineer Manager,17,195000,Canada,Black,0
31,Male,2,Software Engineer,7,140000,UK,Mixed,1
42,Male,3,Software Engineer,14,170000,China,Korean,1
44,Male,2,Project Engineer,11,170000,Canada,White,1
37,Male,2,Software Engineer,9,150000,Australia,Asian,1
24,Female,1,Back end Developer,1,60000,USA,Hispanic,0
27,Male,1,Front end Developer,2,70000,Australia,Australian,0
42,Male,3,Software Engineer,14,170000,Australia,White,1
24,Female,1,Front end Developer,1,55000,USA,White,0
28,Female,1,Front end Developer,3,80000,UK,Welsh,0
43,Male,3,Project Engineer,13,185000,Canada,Asian,1
31,Male,2,Full Stack Engineer,7,140000,China,Korean,0
43,Male,3,Software Engineer Manager,13,180000,UK,Asian,0
27,Female,2,Back end Developer,2,70000,China,Korean,0
49,Male,3,Software Engineer Manager,15,185000,UK,White,0
48,Male,3,Project Engineer,16,190000,Australia,White,1
30,Female,2,Back end Developer,6,130000,Australia,Australian,0
28,Female,2,Full Stack Engineer,4,110000,China,White,0
46,Male,3,Software Engineer Manager,14,180000,China,Korean,0
37,Male,2,Software Engineer,9,145000,USA,African American,1
42,Male,3,Software Engineer,14,170000,China,Korean,1
43,Male,3,Project Engineer,12,165000,China,Chinese,1
31,Male,2,Software Engineer,7,140000,Canada,White,1
56,Male,3,Software Engineer Manager,17,195000,China,White,0
37,Male,2,Software Engineer,10,155000,USA,White,1
54,Male,3,Software Engineer Manager,16,190000,Australia,Asian,0
58,Male,3,Software Engineer Manager,17,195000,Canada,Asian,0
33,Male,2,Back end Developer,6,130000,China,Chinese,0
29,Female,1,Front end Developer,3,85000,UK,White,0
52,Male,3,Software Engineer Manager,18,200000,China,White,0
36,Male,2,Full Stack Engineer,8,140000,USA,Hispanic,0
26,Male,1,Back end Developer,2,65000,UK,Asian,0
47,Male,3,Project Engineer,16,190000,Australia,Australian,1
32,Male,2,Full Stack Engineer,6,120000,Canada,Black,0
29,Male,1,Front end Developer,3,80000,USA,Asian,0
28,Female,2,Back end Developer,3,90000,USA,Hispanic,0
54,Male,3,Software Engineer Manager,16,190000,USA,Asian,0
57,Male,3,Software Engineer Manager,18,200000,Australia,Australian,0
51,Male,3,Software Engineer Manager,16,190000,UK,Mixed,0
28,Female,2,Full Stack Engineer,4,110000,Canada,Asian,0
46,Male,3,Software Engineer Manager,14,180000,China,White,0
27,Female,2,Back end Developer,2,65000,Australia,Asian,0
45,Male,3,Project Engineer,14,185000,USA,Hispanic,1
23,Female,1,Front end Developer,1,55000,Australia,Australian,0
36,Male,2,Full Stack Engineer,7,130000,Canada,Asian,0
48,Male,3,Project Engineer,16,190000,China,Korean,1
33,Female,2,Full Stack Engineer,5,120000,Australia,Australian,0
38,Female,2,Back end Developer,10,155000,Australia,Australian,0
51,Male,3,Software Engineer Manager,16,190000,USA,Hispanic,0
27,Female,2,Full Stack Engineer,3,100000,Australia,Asian,0
37,Male,2,Software Engineer,9,150000,China,Chinese,1
44,Female,2,Project Engineer,12,170000,USA,White,1
27,Male,1,Front end Developer,3,80000,Australia,Australian,0
38,Male,2,Software Engineer,10,155000,UK,Asian,1
54,Male,3,Software Engineer Manager,17,195000,USA,African American,0
49,Male,3,Software Engineer Manager,15,185000,USA,Asian,0
27,Male,1,Front end Developer,2,70000,Australia,White,0
48,Male,3,Project Engineer,16,190000,China,White,1
31,Male,2,Full Stack Engineer,7,140000,USA,Asian,0
25,Male,1,Front end Developer,1,55000,USA,White,0
50,Male,3,Software Engineer Manager,16,190000,Australia,Australian,0
46,Male,3,Software Engineer Manager,14,180000,Canada,White,0
33,Male,2,Full Stack Engineer,6,130000,USA,African American,0
42,Male,3,Software Engineer,14,170000,USA,Asian,1
41,Male,3,Project Engineer,12,165000,UK,White,1
43,Male,3,Project Engineer,13,185000,China,White,1
32,Male,2,Back end Developer,6,130000,China,Korean,0
24,Male,1,Front end Developer,1,60000,USA,Hispanic,0
44,Female,2,Software Engineer,11,170000,Australia,Australian,1
36,Male,2,Software Engineer,7,140000,Australia,Asian,1
28,Female,2,Full Stack Engineer,4,110000,Canada,Asian,0
28,Male,1,Front end Developer,2,70000,China,Korean,0
37,Male,2,Software Engineer,9,145000,Canada,Black,1
54,Male,3,Software Engineer Manager,16,190000,China,White,0
58,Male,3,Software Engineer Manager,17,200000,Canada,Black,0
27,Male,1,Front end Developer,3,80000,Canada,White,0
30,Male,1,Back end Developer,4,95000,UK,White,0
27,Female,2,Full Stack Engineer,3,100000,UK,White,0
54,Male,3,Software Engineer Manager,17,195000,UK,Asian,0
49,Male,3,Software Engineer Manager,15,185000,USA,African American,0
38,Male,2,Software Engineer,10,155000,USA,Asian,1
54,Male,3,Software Engineer Manager,18,195000,China,Chinese,0
31,Male,2,Project Engineer,6,125000,China,Korean,1
56,Male,3,Software Engineer Manager,17,195000,China,Korean,0
31,Male,2,Software Engineer,7,140000,Canada,Black,1
42,Male,3,Software Engineer,14,170000,Australia,Australian,1
44,Male,2,Project Engineer,11,170000,Australia,White,1
37,Male,2,Software Engineer,9,150000,Canada,Asian,1
24,Female,1,Back end Developer,1,60000,Australia,Australian,0
27,Male,1,Front end Developer,2,70000,UK,Welsh,0
42,Male,3,Software Engineer,14,170000,Australia,White,1
24,Female,1,Front end Developer,1,55000,UK,Welsh,0
28,Female,1,Front end Developer,3,80000,Australia,White,0
43,Male,3,Project Engineer,13,185000,China,White,1
31,Male,2,Full Stack Engineer,7,140000,Australia,White,0
43,Male,3,Software Engineer Manager,13,180000,Australia,White,0
27,Female,2,Back end Developer,2,70000,Canada,White,0
49,Male,3,Software Engineer Manager,15,185000,UK,Welsh,0
48,Male,3,Project Engineer,16,190000,Canada,White,1
31,Male,2,Project Engineer,6,125000,Canada,Asian,1
40,Male,3,Software Engineer,12,160000,UK,Mixed,1
36,Male,2,Software Engineer,8,140000,China,White,1
54,Male,3,Software Engineer Manager,17,195000,Australia,White,0
27,Male,1,Front end Developer,2,70000,USA,African American,0
28,Male,1,Front end Developer,2,70000,UK,White,0
44,Male,2,Project Engineer,11,170000,Canada,Black,1
43,Male,3,Project Engineer,13,185000,China,Korean,1
54,Male,3,Software Engineer Manager,17,195000,Canada,Black,0
32,Male,2,Back end Developer,6,130000,USA,Asian,0
38,Male,2,Software Engineer,10,155000,China,White,1
49,Male,3,Software Engineer Manager,15,185000,Australia,Asian,0
27,Male,1,Front end Developer,3,80000,UK,Mixed,0
54,Male,3,Software Engineer Manager,17,195000,China,Chinese,0
31,Male,2,Project Engineer,7,135000,Australia,Australian,1
24,Male,1,Back end Developer,1,55000,Canada,White,0
48,Male,3,Project Engineer,16,190000,Australia,Asian,1
27,Female,2,Back end Developer,2,70000,China,Chinese,0
43,Male,3,Project Engineer,13,185000,Australia,Australian,1
44,Male,2,Project Engineer,11,170000,Australia,Australian,1
37,Male,2,Software Engineer,9,150000,China,Korean,1
56,Male,3,Software Engineer Manager,17,195000,Canada,White,0
28,Male,1,Front end Developer,2,70000,UK,Mixed,0
54,Male,3,Software Engineer Manager,17,195000,USA,Asian,0
31,Male,2,Project Engineer,6,125000,China,Chinese,1
49,Male,3,Software Engineer Manager,15,185000,Australia,Australian,0
27,Female,2,Back end Developer,2,70000,UK,Mixed,0
38,Male,2,Software Engineer,10,155000,Australia,White,1
27,Male,1,Front end Developer,3,80000,Canada,White,0
43,Male,3,Project Engineer,13,185000,China,White,1
48,Male,3,Project Engineer,16,190000,Canada,Asian,1
44,Male,2,Project Engineer,11,170000,Canada,Asian,1
54,Male,3,Software Engineer Manager,17,195000,China,Chinese,0
37,Male,2,Software Engineer,9,150000,UK,Mixed,1
28,Male,1,Front end Developer,2,70000,China,White,0
27,Female,2,Back end Developer,2,70000,USA,Asian,0
49,Male,3,Software Engineer Manager,15,185000,UK,Welsh,0
31,Male,2,Project Engineer,7,135000,Australia,Asian,1
27,Male,1,Front end Developer,3,80000,Canada,White,0
54,Male,3,Software Engineer Manager,17,195000,UK,Welsh,0
38,Male,2,Software Engineer,10,155000,Australia,Australian,1
44,Male,2,Project Engineer,11,170000,UK,Welsh,1
43,Male,3,Project Engineer,13,185000,Canada,Black,1
27,Male,1,Front end Developer,2,70000,Canada,Black,0
48,Male,3,Project Engineer,16,190000,Canada,Black,1
31,Male,2,Project Engineer,6,125000,USA,Asian,1
54,Male,3,Software Engineer Manager,17,195000,Australia,Australian,0
37,Male,2,Software Engineer,9,150000,Canada,White,1
28,Male,1,Front end Developer,2,70000,UK,Mixed,0
27,Female,2,Back end Developer,2,70000,China,Korean,0
34,Male,1,Front end Developer,5,95000,Canada,White,0
43,Female,2,Software Engineer,12,170000,Australia,Asian,1
27,Male,1,Back end Developer,2,75000,Australia,Asian,0
56,Female,3,Software Engineer Manager,18,210000,China,White,0
32,Male,2,Full Stack Engineer,7,135000,USA,White,0
40,Male,3,Software Engineer,12,160000,China,White,1
23,Male,1,Front end Developer,1,55000,USA,African American,0
46,Male,3,Project Engineer,16,190000,UK,White,1
41,Female,3,Project Engineer,11,165000,UK,Asian,1
28,Female,1,Front end Developer,3,80000,Canada,Black,0
34,Male,1,Back end Developer,6,120000,Australia,Asian,0
49,Male,3,Software Engineer Manager,15,185000,UK,Mixed,0
43,Male,3,Project Engineer,13,185000,Canada,Black,1
54,Male,3,Software Engineer Manager,16,190000,UK,Mixed,0
36,Male,2,Software Engineer,8,140000,Canada,Black,1
33,Male,2,Full Stack Engineer,6,130000,UK,Welsh,0
27,Female,2,Back end Developer,2,70000,Canada,White,0
44,Male,2,Project Engineer,11,170000,Canada,White,1
31,Male,2,Project Engineer,6,125000,China,Korean,1
38,Male,2,Software Engineer,10,155000,USA,Hispanic,1
27,Male,1,Front end Developer,2,70000,USA,African American,0
54,Male,3,Software Engineer Manager,17,195000,Australia,White,0
31,Male,2,Software Engineer,7,140000,China,White,1
32,Male,2,Back end Developer,6,130000,USA,White,0
38,Female,2,Back end Developer,10,155000,UK,Asian,0
51,Male,3,Software Engineer Manager,16,190000,Australia,Asian,0
28,Male,1,Front end Developer,2,70000,UK,Mixed,0
27,Male,1,Front end Developer,3,80000,Canada,Asian,0
43,Male,3,Project Engineer,13,185000,China,White,1
27,Female,2,Full Stack Engineer,3,100000,USA,White,0
49,Male,3,Software Engineer Manager,15,185000,Australia,Asian,0
48,Male,3,Project Engineer,16,190000,Australia,Australian,1
31,Male,2,Project Engineer,7,135000,Australia,White,1
40,Female,3,Software Engineer,12,160000,USA,White,1
24,Male,1,Front end Developer,1,55000,Canada,White,0
27,Male,1,Front end Developer,3,80000,USA,White,0
42,Male,3,Software Engineer,14,170000,Canada,Asian,1
24,Female,1,Front end Developer,1,55000,UK,Welsh,0
28,Female,1,Front end Developer,3,80000,USA,African American,0
43,Male,3,Project Engineer,13,185000,China,White,1
31,Male,2,Full Stack Engineer,7,140000,USA,Asian,0
43,Male,3,Software Engineer Manager,13,180000,China,White,0
27,Female,2,Back end Developer,2,70000,Australia,Australian,0
49,Male,3,Software Engineer Manager,15,185000,USA,African American,0
48,Male,3,Project Engineer,16,190000,UK,Mixed,1
31,Male,2,Project Engineer,6,125000,Canada,Asian,1
40,Male,3,Software Engineer,12,160000,China,Chinese,1
36,Male,2,Software Engineer,8,140000,UK,Welsh,1
54,Male,3,Software Engineer Manager,17,195000,Canada,Asian,0
27,Male,1,Front end Developer,2,70000,Australia,Australian,0
28,Male,1,Front end Developer,2,70000,USA,African American,0
44,Male,2,Project Engineer,11,170000,China,White,1
43,Male,3,Project Engineer,13,185000,China,Chinese,1
54,Male,3,Software Engineer Manager,17,195000,UK,Asian,0
32,Male,2,Back end Developer,6,130000,Australia,Australian,0
38,Male,2,Software Engineer,10,155000,UK,Mixed,1
49,Male,3,Software Engineer Manager,15,185000,UK,Mixed,0
27,Male,1,Front end Developer,3,80000,Canada,Black,0
54,Male,3,Software Engineer Manager,17,195000,Australia,White,0
31,Male,2,Project Engineer,7,135000,UK,White,1
24,Male,1,Back end Developer,1,55000,Canada,White,0
48,Male,3,Project Engineer,16,190000,USA,White,1
27,Female,2,Back end Developer,2,70000,Canada,Black,0
43,Male,3,Project Engineer,13,185000,USA,Hispanic,1
44,Male,2,Project Engineer,11,170000,Canada,Asian,1
37,Male,2,Software Engineer,9,150000,Canada,Asian,1
56,Male,3,Software Engineer Manager,17,195000,UK,Welsh,0
28,Male,1,Front end Developer,2,70000,USA,Hispanic,0
54,Male,3,Software Engineer Manager,17,195000,Canada,Asian,0
31,Male,2,Project Engineer,6,125000,USA,Asian,1
49,Male,3,Software Engineer Manager,15,185000,China,White,0
54,Male,3,Software Engineer Manager,17,195000,Canada,Black,0
27,Male,1,Front end Developer,3,80000,Australia,White,0
42,Male,3,Software Engineer,14,170000,China,Korean,1
38,Male,2,Software Engineer,10,155000,China,White,1
43,Male,3,Project Engineer,13,185000,Canada,White,1
27,Male,1,Front end Developer,2,70000,Canada,Asian,0
31,Male,2,Full Stack Engineer,7,140000,Canada,Asian,0
54,Male,3,Software Engineer Manager,17,195000,UK,Asian,0
36,Male,2,Software Engineer,8,140000,Canada,Black,1
27,Female,2,Back end Developer,2,70000,USA,African American,0
49,Male,3,Software Engineer Manager,15,185000,China,Chinese,0
48,Male,3,Project Engineer,16,190000,UK,Mixed,1
31,Male,2,Project Engineer,7,135000,USA,African American,1
40,Female,3,Software Engineer,12,160000,UK,White,1
24,Male,1,Front end Developer,1,55000,UK,Welsh,0
27,Male,1,Front end Developer,3,80000,China,Chinese,0
43,Male,3,Project Engineer,13,185000,USA,White,1
27,Female,2,Full Stack Engineer,3,100000,UK,Mixed,0
49,Male,3,Software Engineer Manager,15,185000,UK,Asian,0
48,Male,3,Project Engineer,16,190000,USA,White,1
31,Male,2,Project Engineer,6,125000,UK,White,1
40,Male,3,Software Engineer,12,160000,USA,Hispanic,1
36,Male,2,Software Engineer,8,140000,China,Korean,1
54,Male,3,Software Engineer Manager,17,195000,UK,Asian,0
27,Male,1,Front end Developer,2,70000,Australia,Australian,0
28,Male,1,Front end Developer,2,70000,Canada,Black,0
44,Male,2,Project Engineer,11,170000,Canada,White,1
43,Male,3,Project Engineer,13,185000,UK,Welsh,1
54,Male,3,Software Engineer Manager,17,195000,Canada,Black,0
32,Male,2,Back end Developer,6,130000,Canada,Asian,0
38,Male,2,Software Engineer,10,155000,Canada,White,1
49,Male,3,Software Engineer Manager,15,185000,Canada,White,0
27,Male,1,Front end Developer,3,80000,USA,African American,0
54,Male,3,Software Engineer Manager,17,195000,China,White,0
31,Male,2,Project Engineer,7,135000,Australia,Asian,1
24,Male,1,Back end Developer,1,55000,USA,Hispanic,0
48,Male,3,Project Engineer,16,190000,Canada,Asian,1
27,Female,2,Back end Developer,2,70000,UK,Mixed,0
43,Male,3,Project Engineer,13,185000,UK,Mixed,1
44,Male,2,Project Engineer,11,170000,USA,African American,1
37,Male,2,Software Engineer,9,150000,UK,Asian,1
56,Male,3,Software Engineer Manager,17,195000,USA,White,0
28,Male,1,Front end Developer,2,70000,Canada,Black,0
54,Male,3,Software Engineer Manager,17,195000,USA,African American,0
31,Male,2,Project Engineer,6,125000,China,White,1
49,Male,3,Software Engineer Manager,15,185000,Australia,White,0
54,Male,3,Software Engineer Manager,17,195000,China,Chinese,0
27,Male,1,Front end Developer,3,80000,UK,Welsh,0
42,Male,3,Software Engineer,14,170000,China,White,1
38,Male,2,Software Engineer,10,155000,Australia,Asian,1
36,Male,1,Front end Developer,7,120000,UK,Asian,0
29,Female,2,Back end Developer,3,90000,USA,Asian,0
41,Female,3,Software Engineer Manager,14,180000,UK,Asian,0
33,Male,1,Full Stack Engineer,7,130000,UK,Welsh,0
42,Male,3,Software Engineer,12,170000,China,Korean,1
28,Male,1,Back end Developer,2,70000,UK,Welsh,0
55,Male,3,Software Engineer Manager,18,210000,China,White,0
26,Female,2,Front end Developer,1,55000,Canada,Asian,0
47,Male,3,Project Engineer,16,190000,UK,Welsh,1
44,Female,3,Software Engineer Manager,11,165000,Canada,Black,0
30,Male,2,Full Stack Engineer,5,105000,China,Korean,0
39,Female,2,Software Engineer,11,160000,UK,Welsh,1
32,Male,1,Front end Developer,6,110000,Canada,Black,0
50,Male,3,Software Engineer Manager,17,195000,China,Korean,0
27,Male,1,Back end Developer,3,85000,China,Chinese,0
46,Male,3,Project Engineer,14,180000,UK,White,1
25,Female,1,Front end Developer,1,55000,Australia,White,0
43,Male,3,Project Engineer,13,185000,UK,Welsh,1
35,Male,1,Back end Developer,8,140000,Canada,Black,0
29,Female,2,Back end Developer,3,90000,UK,Mixed,0
40,Female,3,Software Engineer,12,160000,USA,White,1
35,Male,1,Full Stack Engineer,8,145000,China,White,0
41,Male,3,Project Engineer,13,185000,Australia,White,1
30,Male,2,Full Stack Engineer,5,105000,UK,White,0
33,Male,1,Front end Developer,6,110000,Australia,Asian,0
55,Male,3,Software Engineer Manager,18,210000,UK,Asian,0
26,Female,2,Front end Developer,1,55000,UK,Mixed,0
47,Male,3,Project Engineer,16,190000,USA,African American,1
44,Female,3,Software Engineer Manager,11,165000,UK,Asian,0
30,Male,2,Full Stack Engineer,5,105000,USA,White,0
39,Female,2,Software Engineer,11,160000,China,Korean,1
32,Male,1,Front end Developer,6,110000,USA,Hispanic,0
50,Male,3,Software Engineer Manager,17,195000,Australia,Australian,0
27,Male,1,Back end Developer,3,85000,UK,Mixed,0
46,Male,3,Project Engineer,14,180000,Australia,Asian,1
25,Female,1,Front end Developer,1,55000,UK,Asian,0
43,Male,3,Project Engineer,13,185000,USA,African American,1
35,Male,1,Back end Developer,8,140000,Australia,Asian,0
29,Female,2,Back end Developer,3,90000,Canada,Black,0
40,Female,3,Software Engineer,12,160000,USA,Hispanic,1
35,Male,1,Full Stack Engineer,8,145000,UK,Mixed,0
41,Male,3,Project Engineer,13,185000,UK,White,1
30,Male,2,Full Stack Engineer,5,105000,Australia,Asian,0
33,Male,1,Front end Developer,6,110000,USA,African American,0
55,Male,3,Software Engineer Manager,18,210000,China,Chinese,0
26,Female,2,Front end Developer,1,55000,Australia,Australian,0
47,Male,3,Project Engineer,16,190000,USA,Hispanic,1
44,Female,3,Software Engineer Manager,11,165000,Canada,Black,0
30,Male,2,Full Stack Engineer,5,105000,USA,African American,0
39,Female,2,Software Engineer,11,160000,Canada,White,1
32,Male,1,Front end Developer,6,110000,Australia,Australian,0
50,Male,3,Software Engineer Manager,17,195000,Australia,White,0
27,Male,1,Back end Developer,3,85000,Canada,Black,0
46,Male,3,Project Engineer,14,180000,Australia,White,1
25,Female,1,Front end Developer,1,55000,USA,White,0
43,Male,3,Project Engineer,13,185000,China,White,1
35,Male,1,Back end Developer,8,140000,Australia,Australian,0
29,Female,2,Back end Developer,3,90000,Canada,Black,0
40,Female,3,Software Engineer,12,160000,Australia,Asian,1
35,Male,1,Full Stack Engineer,8,145000,Canada,Asian,0
41,Male,3,Project Engineer,13,185000,Australia,Australian,1
30,Male,2,Full Stack Engineer,5,105000,UK,Asian,0
33,Male,1,Front end Developer,6,110000,Australia,Australian,0
55,Male,3,Software Engineer Manager,18,210000,UK,Asian,0
26,Female,2,Front end Developer,1,55000,USA,Asian,0
47,Male,3,Project Engineer,16,190000,Australia,Asian,1
44,Female,3,Software Engineer Manager,11,165000,China,White,0
